lon,lat,treatment_intensity,building_footprint,tin_roof_area,night_light
34.1825,0.2625,10-12,1%-2%,0%-1%,0.0-0.4
34.1875,0.2625,10-12,1%-2%,0%-1%,0.0-0.4
34.1925,0.2625,0-3,2%-3%,1%-2%,0.0-0.4
34.1975,0.2625,0-3,1%-2%,1%-2%,0.0-0.4
34.2025,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2075,0.2625,4-6,0%-1%,0%-1%,0.0-0.4
34.2125,0.2625,4-6,0%-1%,0%-1%,0.4-0.8
34.2175,0.2625,0-3,2%-3%,1%-2%,0.8-1.2
34.2225,0.2625,0-3,3%-4%,2%-3%,0.8-1.2
34.2275,0.2625,4-6,3%-4%,2%-3%,0.8-1.2
34.2325,0.2625,10-12,1%-2%,0%-1%,0.4-0.8
34.2375,0.2625,4-6,1%-2%,0%-1%,0.0-0.4
34.2425,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2475,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2525,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2625,0.2625,4-6,1%-2%,0%-1%,0.0-0.4
34.2675,0.2625,0-3,2%-3%,1%-2%,0.0-0.4
34.2725,0.2625,0-3,1%-2%,0%-1%,0.0-0.4
34.2775,0.2625,0-3,1%-2%,0%-1%,0.0-0.4
34.2825,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2875,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.2925,0.2625,0-3,2%-3%,1%-2%,0.0-0.4
34.2975,0.2625,0-3,1%-2%,0%-1%,0.0-0.4
34.3075,0.2625,4-6,0%-1%,0%-1%,0.0-0.4
34.3125,0.2625,0-3,1%-2%,0%-1%,0.0-0.4
34.3175,0.2625,0-3,2%-3%,1%-2%,0.0-0.4
34.3225,0.2625,0-3,1%-2%,1%-2%,0.0-0.4
34.3275,0.2625,0-3,1%-2%,0%-1%,0.0-0.4
34.3325,0.2625,13-,1%-2%,1%-2%,0.0-0.4
34.3375,0.2625,10-12,1%-2%,0%-1%,0.0-0.4
34.3475,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.3525,0.2625,13-,1%-2%,0%-1%,0.0-0.4
34.3575,0.2625,10-12,0%-1%,0%-1%,0.0-0.4
34.3625,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.3675,0.2625,4-6,0%-1%,0%-1%,0.0-0.4
34.3725,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.3775,0.2625,0-3,0%-1%,0%-1%,0.0-0.4
34.3825,0.2625,10-12,0%-1%,0%-1%,0.0-0.4
34.3875,0.2625,4-6,0%-1%,0%-1%,0.0-0.4
34.3925,0.2625,13-,1%-2%,0%-1%,0.0-0.4
34.3975,0.2625,4-6,0%-1%,0%-1%,0.0-0.4
34.1525,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.1575,0.2675,13-,1%-2%,1%-2%,0.0-0.4
34.1625,0.2675,4-6,1%-2%,1%-2%,0.0-0.4
34.1675,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.1725,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.1775,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.1825,0.2675,4-6,0%-1%,0%-1%,0.0-0.4
34.1875,0.2675,0-3,2%-3%,0%-1%,0.0-0.4
34.1925,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.1975,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.2075,0.2675,13-,1%-2%,0%-1%,0.0-0.4
34.2125,0.2675,7-9,1%-2%,1%-2%,0.4-0.8
34.2175,0.2675,10-12,1%-2%,0%-1%,0.8-1.2
34.2225,0.2675,7-9,3%-4%,2%-3%,0.8-1.2
34.2275,0.2675,0-3,3%-4%,1%-2%,0.8-1.2
34.2325,0.2675,0-3,0%-1%,0%-1%,0.4-0.8
34.2375,0.2675,13-,2%-3%,1%-2%,0.0-0.4
34.2425,0.2675,13-,2%-3%,1%-2%,0.0-0.4
34.2475,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2525,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2575,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.2625,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2675,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2725,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2875,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.2925,0.2675,0-3,3%-4%,1%-2%,0.0-0.4
34.2975,0.2675,7-9,1%-2%,0%-1%,0.0-0.4
34.3025,0.2675,10-12,1%-2%,0%-1%,0.0-0.4
34.3075,0.2675,4-6,0%-1%,0%-1%,0.0-0.4
34.3175,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.3225,0.2675,4-6,2%-3%,1%-2%,0.0-0.4
34.3275,0.2675,0-3,3%-4%,1%-2%,0.0-0.4
34.3325,0.2675,10-12,1%-2%,1%-2%,0.0-0.4
34.3375,0.2675,10-12,1%-2%,0%-1%,0.0-0.4
34.3425,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.3475,0.2675,0-3,1%-2%,0%-1%,0.0-0.4
34.3525,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,0.2675,4-6,0%-1%,0%-1%,0.0-0.4
34.3625,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.3675,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.3725,0.2675,7-9,1%-2%,0%-1%,0.0-0.4
34.3775,0.2675,7-9,0%-1%,0%-1%,0.0-0.4
34.3825,0.2675,13-,0%-1%,0%-1%,0.0-0.4
34.3875,0.2675,7-9,1%-2%,0%-1%,0.0-0.4
34.3925,0.2675,0-3,0%-1%,0%-1%,0.0-0.4
34.1525,0.2725,7-9,0%-1%,0%-1%,0.0-0.4
34.1575,0.2725,10-12,2%-3%,1%-2%,0.0-0.4
34.1625,0.2725,4-6,1%-2%,1%-2%,0.0-0.4
34.1675,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.1725,0.2725,0-3,1%-2%,1%-2%,0.0-0.4
34.1775,0.2725,0-3,1%-2%,0%-1%,0.0-0.4
34.1825,0.2725,0-3,1%-2%,1%-2%,0.0-0.4
34.1875,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.2075,0.2725,13-,1%-2%,1%-2%,0.0-0.4
34.2125,0.2725,13-,1%-2%,1%-2%,0.0-0.4
34.2175,0.2725,4-6,1%-2%,0%-1%,0.4-0.8
34.2225,0.2725,7-9,2%-3%,1%-2%,0.4-0.8
34.2275,0.2725,0-3,2%-3%,1%-2%,0.4-0.8
34.2325,0.2725,0-3,0%-1%,0%-1%,0.4-0.8
34.2375,0.2725,13-,1%-2%,1%-2%,0.0-0.4
34.2425,0.2725,10-12,3%-4%,2%-3%,0.0-0.4
34.2475,0.2725,0-3,2%-3%,1%-2%,0.0-0.4
34.2525,0.2725,0-3,1%-2%,1%-2%,0.0-0.4
34.2575,0.2725,0-3,1%-2%,1%-2%,0.0-0.4
34.2625,0.2725,10-12,1%-2%,1%-2%,0.0-0.4
34.2675,0.2725,7-9,1%-2%,0%-1%,0.0-0.4
34.2725,0.2725,10-12,0%-1%,0%-1%,0.0-0.4
34.2775,0.2725,10-12,0%-1%,0%-1%,0.0-0.4
34.2825,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.2875,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.2925,0.2725,0-3,2%-3%,1%-2%,0.0-0.4
34.2975,0.2725,10-12,1%-2%,0%-1%,0.0-0.4
34.3025,0.2725,13-,1%-2%,0%-1%,0.0-0.4
34.3075,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3125,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3175,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3225,0.2725,4-6,0%-1%,0%-1%,0.0-0.4
34.3275,0.2725,0-3,1%-2%,0%-1%,0.0-0.4
34.3325,0.2725,0-3,1%-2%,1%-2%,0.0-0.4
34.3375,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3425,0.2725,0-3,1%-2%,0%-1%,0.0-0.4
34.3475,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3525,0.2725,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,0.2725,4-6,0%-1%,0%-1%,0.0-0.4
34.3625,0.2725,7-9,0%-1%,0%-1%,0.0-0.4
34.3675,0.2725,7-9,0%-1%,0%-1%,0.0-0.4
34.3775,0.2725,10-12,0%-1%,0%-1%,0.0-0.4
34.3875,0.2725,4-6,0%-1%,0%-1%,0.0-0.4
34.1525,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.1575,0.2775,10-12,2%-3%,1%-2%,0.0-0.4
34.1625,0.2775,13-,1%-2%,0%-1%,0.0-0.4
34.1675,0.2775,0-3,0%-1%,0%-1%,0.0-0.4
34.1725,0.2775,0-3,2%-3%,1%-2%,0.0-0.4
34.1775,0.2775,0-3,2%-3%,1%-2%,0.0-0.4
34.1825,0.2775,0-3,1%-2%,1%-2%,0.0-0.4
34.2075,0.2775,13-,1%-2%,1%-2%,0.0-0.4
34.2125,0.2775,13-,2%-3%,1%-2%,0.0-0.4
34.2175,0.2775,7-9,1%-2%,1%-2%,0.0-0.4
34.2225,0.2775,0-3,2%-3%,1%-2%,0.4-0.8
34.2275,0.2775,0-3,2%-3%,1%-2%,0.4-0.8
34.2325,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.2375,0.2775,0-3,1%-2%,1%-2%,0.0-0.4
34.2425,0.2775,7-9,2%-3%,1%-2%,0.0-0.4
34.2475,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.2525,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.2575,0.2775,0-3,2%-3%,1%-2%,0.0-0.4
34.2625,0.2775,7-9,3%-4%,1%-2%,0.0-0.4
34.2675,0.2775,7-9,1%-2%,0%-1%,0.0-0.4
34.2725,0.2775,10-12,1%-2%,0%-1%,0.0-0.4
34.2825,0.2775,0-3,0%-1%,0%-1%,0.8-1.2
34.2875,0.2775,0-3,2%-3%,1%-2%,0.4-0.8
34.2925,0.2775,0-3,1%-2%,1%-2%,0.4-0.8
34.2975,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.3075,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.3125,0.2775,0-3,0%-1%,0%-1%,0.0-0.4
34.3175,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.3225,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.3275,0.2775,0-3,0%-1%,0%-1%,0.0-0.4
34.3375,0.2775,0-3,1%-2%,0%-1%,0.0-0.4
34.3425,0.2775,0-3,0%-1%,0%-1%,0.0-0.4
34.3475,0.2775,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,0.2775,13-,1%-2%,1%-2%,0.0-0.4
34.3625,0.2775,4-6,0%-1%,0%-1%,0.0-0.4
34.3675,0.2775,4-6,0%-1%,0%-1%,0.0-0.4
34.3725,0.2775,7-9,0%-1%,0%-1%,0.0-0.4
34.3775,0.2775,10-12,0%-1%,0%-1%,0.0-0.4
34.3825,0.2775,13-,0%-1%,0%-1%,0.0-0.4
34.3875,0.2775,13-,0%-1%,0%-1%,0.0-0.4
34.3925,0.2775,4-6,0%-1%,0%-1%,0.0-0.4
34.1575,0.2825,10-12,1%-2%,1%-2%,0.0-0.4
34.1625,0.2825,10-12,1%-2%,1%-2%,0.0-0.4
34.1675,0.2825,13-,2%-3%,1%-2%,0.0-0.4
34.1725,0.2825,4-6,2%-3%,1%-2%,0.0-0.4
34.1775,0.2825,0-3,1%-2%,1%-2%,0.0-0.4
34.1825,0.2825,0-3,1%-2%,1%-2%,0.0-0.4
34.2075,0.2825,4-6,1%-2%,0%-1%,0.0-0.4
34.2125,0.2825,13-,1%-2%,1%-2%,0.0-0.4
34.2175,0.2825,7-9,3%-4%,2%-3%,0.4-0.8
34.2225,0.2825,0-3,1%-2%,1%-2%,0.4-0.8
34.2275,0.2825,0-3,1%-2%,0%-1%,0.4-0.8
34.2325,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2375,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2425,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.2475,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2525,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2575,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.2625,0.2825,0-3,2%-3%,1%-2%,0.0-0.4
34.2675,0.2825,0-3,1%-2%,1%-2%,0.0-0.4
34.2725,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2775,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.2825,0.2825,7-9,1%-2%,1%-2%,0.8-1.2
34.2875,0.2825,0-3,0%-1%,0%-1%,0.8-1.2
34.2925,0.2825,0-3,2%-3%,1%-2%,0.4-0.8
34.2975,0.2825,0-3,1%-2%,1%-2%,0.0-0.4
34.3025,0.2825,10-12,1%-2%,1%-2%,0.0-0.4
34.3075,0.2825,13-,1%-2%,1%-2%,0.0-0.4
34.3125,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.3175,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.3225,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.3275,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.3325,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.3375,0.2825,0-3,1%-2%,0%-1%,0.0-0.4
34.3425,0.2825,0-3,2%-3%,1%-2%,0.0-0.4
34.3475,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,0.2825,13-,1%-2%,0%-1%,0.0-0.4
34.3625,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.3675,0.2825,4-6,1%-2%,0%-1%,0.0-0.4
34.3725,0.2825,13-,1%-2%,0%-1%,0.0-0.4
34.3775,0.2825,10-12,0%-1%,0%-1%,0.0-0.4
34.3825,0.2825,4-6,0%-1%,0%-1%,0.0-0.4
34.3875,0.2825,0-3,1%-2%,1%-2%,0.0-0.4
34.3925,0.2825,0-3,0%-1%,0%-1%,0.0-0.4
34.1625,0.2875,7-9,1%-2%,1%-2%,0.0-0.4
34.1675,0.2875,10-12,1%-2%,1%-2%,0.0-0.4
34.1725,0.2875,10-12,3%-4%,2%-3%,0.0-0.4
34.1775,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.2175,0.2875,0-3,1%-2%,1%-2%,0.4-0.8
34.2225,0.2875,0-3,2%-3%,1%-2%,0.4-0.8
34.2275,0.2875,4-6,1%-2%,1%-2%,0.0-0.4
34.2325,0.2875,0-3,2%-3%,1%-2%,0.0-0.4
34.2375,0.2875,0-3,0%-1%,0%-1%,0.0-0.4
34.2425,0.2875,0-3,1%-2%,1%-2%,0.0-0.4
34.2475,0.2875,0-3,2%-3%,1%-2%,0.0-0.4
34.2525,0.2875,4-6,2%-3%,1%-2%,0.0-0.4
34.2575,0.2875,0-3,2%-3%,1%-2%,0.4-0.8
34.2625,0.2875,0-3,3%-4%,2%-3%,0.4-0.8
34.2675,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.2775,0.2875,0-3,0%-1%,0%-1%,0.0-0.4
34.2825,0.2875,10-12,0%-1%,0%-1%,0.4-0.8
34.2875,0.2875,4-6,1%-2%,0%-1%,0.4-0.8
34.2925,0.2875,0-3,1%-2%,1%-2%,0.0-0.4
34.2975,0.2875,7-9,1%-2%,1%-2%,0.0-0.4
34.3025,0.2875,7-9,1%-2%,1%-2%,0.0-0.4
34.3075,0.2875,4-6,1%-2%,0%-1%,0.0-0.4
34.3125,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.3175,0.2875,7-9,1%-2%,0%-1%,0.0-0.4
34.3225,0.2875,13-,1%-2%,0%-1%,0.0-0.4
34.3275,0.2875,0-3,0%-1%,0%-1%,0.0-0.4
34.3325,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.3375,0.2875,0-3,0%-1%,0%-1%,0.0-0.4
34.3425,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.3475,0.2875,4-6,1%-2%,1%-2%,0.0-0.4
34.3525,0.2875,0-3,0%-1%,0%-1%,0.0-0.4
34.3575,0.2875,7-9,1%-2%,1%-2%,0.0-0.4
34.3625,0.2875,0-3,1%-2%,0%-1%,0.0-0.4
34.3675,0.2875,4-6,1%-2%,1%-2%,0.0-0.4
34.3725,0.2875,10-12,1%-2%,1%-2%,0.0-0.4
34.3775,0.2875,13-,0%-1%,0%-1%,0.0-0.4
34.3825,0.2875,4-6,0%-1%,0%-1%,0.0-0.4
34.3875,0.2875,0-3,1%-2%,1%-2%,0.0-0.4
34.3925,0.2875,0-3,1%-2%,1%-2%,0.0-0.4
34.1625,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.1675,0.2925,7-9,2%-3%,1%-2%,0.0-0.4
34.1725,0.2925,0-3,3%-4%,2%-3%,0.0-0.4
34.2425,0.2925,4-6,1%-2%,0%-1%,0.0-0.4
34.2475,0.2925,10-12,2%-3%,1%-2%,0.0-0.4
34.2525,0.2925,4-6,1%-2%,0%-1%,0.0-0.4
34.2575,0.2925,0-3,1%-2%,0%-1%,0.4-0.8
34.2625,0.2925,0-3,1%-2%,0%-1%,0.4-0.8
34.2675,0.2925,0-3,2%-3%,1%-2%,0.0-0.4
34.2725,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.2775,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.2825,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.2875,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.2925,0.2925,0-3,2%-3%,1%-2%,0.0-0.4
34.2975,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.3025,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3075,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.3125,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3175,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3225,0.2925,13-,1%-2%,1%-2%,0.0-0.4
34.3275,0.2925,7-9,1%-2%,0%-1%,0.0-0.4
34.3325,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3375,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.3425,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.3475,0.2925,13-,1%-2%,1%-2%,0.0-0.4
34.3525,0.2925,7-9,0%-1%,0%-1%,0.0-0.4
34.3575,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3625,0.2925,4-6,0%-1%,0%-1%,0.0-0.4
34.3675,0.2925,7-9,1%-2%,0%-1%,0.0-0.4
34.3725,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3775,0.2925,10-12,0%-1%,0%-1%,0.0-0.4
34.3825,0.2925,13-,0%-1%,0%-1%,0.0-0.4
34.3875,0.2925,0-3,0%-1%,0%-1%,0.0-0.4
34.3925,0.2925,0-3,1%-2%,0%-1%,0.0-0.4
34.1675,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.2525,0.2975,7-9,1%-2%,0%-1%,0.0-0.4
34.2575,0.2975,4-6,3%-4%,1%-2%,0.0-0.4
34.2625,0.2975,0-3,2%-3%,1%-2%,0.0-0.4
34.2675,0.2975,0-3,2%-3%,1%-2%,0.0-0.4
34.2725,0.2975,0-3,2%-3%,1%-2%,0.0-0.4
34.2775,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.2825,0.2975,0-3,2%-3%,1%-2%,0.0-0.4
34.2875,0.2975,0-3,2%-3%,1%-2%,0.0-0.4
34.2925,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.2975,0.2975,0-3,0%-1%,0%-1%,0.0-0.4
34.3025,0.2975,0-3,0%-1%,0%-1%,0.0-0.4
34.3075,0.2975,0-3,0%-1%,0%-1%,0.0-0.4
34.3125,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.3175,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.3225,0.2975,4-6,0%-1%,0%-1%,0.0-0.4
34.3275,0.2975,13-,1%-2%,0%-1%,0.0-0.4
34.3325,0.2975,4-6,1%-2%,0%-1%,0.0-0.4
34.3375,0.2975,13-,1%-2%,1%-2%,0.0-0.4
34.3425,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.3475,0.2975,0-3,2%-3%,2%-3%,0.0-0.4
34.3525,0.2975,0-3,1%-2%,1%-2%,0.0-0.4
34.3575,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.3625,0.2975,0-3,1%-2%,0%-1%,0.0-0.4
34.3675,0.2975,7-9,1%-2%,0%-1%,0.0-0.4
34.3725,0.2975,7-9,1%-2%,0%-1%,0.0-0.4
34.3775,0.2975,13-,1%-2%,1%-2%,0.0-0.4
34.3825,0.2975,13-,1%-2%,0%-1%,0.0-0.4
34.2475,0.3025,0-3,0%-1%,0%-1%,0.0-0.4
34.2525,0.3025,13-,1%-2%,0%-1%,0.0-0.4
34.2575,0.3025,4-6,2%-3%,2%-3%,0.0-0.4
34.2625,0.3025,0-3,2%-3%,1%-2%,0.0-0.4
34.2675,0.3025,13-,2%-3%,1%-2%,0.0-0.4
34.2725,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.2775,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.2825,0.3025,0-3,3%-4%,2%-3%,0.4-0.8
34.2875,0.3025,13-,3%-4%,2%-3%,0.4-0.8
34.2925,0.3025,4-6,1%-2%,0%-1%,0.0-0.4
34.2975,0.3025,0-3,0%-1%,0%-1%,0.0-0.4
34.3025,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.3075,0.3025,0-3,1%-2%,1%-2%,0.0-0.4
34.3125,0.3025,0-3,1%-2%,1%-2%,0.0-0.4
34.3175,0.3025,0-3,1%-2%,1%-2%,0.0-0.4
34.3225,0.3025,4-6,0%-1%,0%-1%,0.0-0.4
34.3275,0.3025,13-,1%-2%,0%-1%,0.0-0.4
34.3325,0.3025,13-,2%-3%,1%-2%,0.0-0.4
34.3375,0.3025,13-,2%-3%,1%-2%,0.0-0.4
34.3425,0.3025,0-3,0%-1%,0%-1%,0.0-0.4
34.3475,0.3025,0-3,3%-4%,2%-3%,0.0-0.4
34.3525,0.3025,0-3,1%-2%,1%-2%,0.0-0.4
34.3575,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.3625,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.3675,0.3025,0-3,1%-2%,0%-1%,0.0-0.4
34.3725,0.3025,13-,0%-1%,0%-1%,0.0-0.4
34.3775,0.3025,13-,1%-2%,0%-1%,0.0-0.4
34.3825,0.3025,0-3,1%-2%,1%-2%,0.0-0.4
34.2525,0.3075,13-,2%-3%,1%-2%,0.0-0.4
34.2575,0.3075,7-9,1%-2%,1%-2%,0.0-0.4
34.2625,0.3075,0-3,0%-1%,0%-1%,0.0-0.4
34.2675,0.3075,0-3,0%-1%,0%-1%,0.0-0.4
34.2725,0.3075,0-3,0%-1%,0%-1%,0.0-0.4
34.2775,0.3075,0-3,1%-2%,0%-1%,0.0-0.4
34.2825,0.3075,0-3,2%-3%,1%-2%,0.8-1.2
34.2925,0.3075,4-6,2%-3%,1%-2%,0.0-0.4
34.2975,0.3075,0-3,2%-3%,1%-2%,0.0-0.4
34.3025,0.3075,0-3,1%-2%,0%-1%,0.0-0.4
34.3075,0.3075,0-3,2%-3%,1%-2%,0.0-0.4
34.3125,0.3075,0-3,1%-2%,1%-2%,0.4-0.8
34.3175,0.3075,0-3,1%-2%,0%-1%,0.0-0.4
34.3275,0.3075,13-,2%-3%,1%-2%,0.0-0.4
34.3325,0.3075,13-,1%-2%,1%-2%,0.0-0.4
34.3375,0.3075,10-12,3%-4%,2%-3%,0.0-0.4
34.3425,0.3075,0-3,1%-2%,0%-1%,0.0-0.4
